Name,Description,Website
Gem,"a cryptocurrency platform as a universal wallet for assets, as well as an Operating System (OS) named GemOS to manage data for the healthcare ecosystem",https://enterprise.gem.co/
Hashed Health,a healthcare firm that focuses on development of blockchain and distributed ledger technologies,https://hashedhealth.com/
Healpoint,"a blockchain-based healthcare platform delivering a second opinion consensus from multiple experts at a time, which launched an ICO in 2018",https://healpoint.io
MedicalChain,a decentralised platform to exchange and use medical data,https://medicalchain.com/en/
Youbase / Cortex,"a platform which will allow efficient, scalable and cost-effective ways to publish, organize and find content in a decentralized Web3 environment.
",https://youbase.io/
Arc-net,"the company arc-net connects every step of your product's journey to deliver supply chain transparency and product security. The arc-net toolset provides an easy to use scalable platform, powering the strategic insights that unlock profit",https://arc-net.io/
Agridigital,the world's first blockchain-enabled commodity management platform (from Full Profile),https://agridigital.io
Skuchain,a solution that empowers enterprise supply chains with blockchain to extract maximum value from the $18 trillion dollar market for global trade,http://www.skuchain.com/
"Freemantle, Australia with Power Ledger -> PowerLedger",a project with Power Ledger and Australian Government Smart Cities project for 100% renewable energy,https://www.powerledger.io/
Genesis Research & Technology Group,A U.S. company is introducing a new mobile system for cleaning heavily polluted water and storing the results of the tests in the blockchain.,https://genesisresearchtrust.com
Foodchain,an italian startup company with a traciability service based on blockchain,https://www.foodchainid.com/
Electron,"a start-up harnessing blockchain technologies to design more efficient, resilient and flexible systems for the energy sector",http://www.electron.org.uk/
Health Verity,"a project which synchronizes transformational technologies with the nation’s largest healthcare and consumer data ecosystem to power previously unattainable outcomes and fundamentally advance the science. 
",https://healthverity.com
Hypergive,"a projects using the Ethereum blockchain to tackle donor cynicism and leveraging common payment methods to provide secure, digital food wallets for homeless and hungry people in your community",http://www.hypergive.com/
Ambrosus,"a blockchain-powered IoT network for food and pharmaceutical enterprises, enabling secure and frictionless dialogue between sensors, distributed ledgers and databases to optimise supply chain visibility and quality assurance",https://ambrosus.io/
Eximchain,"a protocol for scalable, public blockchain networks with privacy for enterprise supply chain applications. Eximchain enables businesses to connect, transact, and share information more efficiently and securely. (Project seems inactive or has been aborted)",https://www.eximchain.com/
OmegaGrid,"a start-up that help distribution utilities manage the fi nancial aspects of all
the new energy resources on their grid",https://www.omegagrid.com/
SecureKey and IBM,a leading identity and authentication provider that simplifies consumer access to online services and applications,https://press.avast.com/avast-to-acquire-securekey-technologies
Ehab,"A platform to make the built environment sustainable, liveable, affordable and smart, so that it supports happy healthy humans who can fourish in a radically 
changing world",https://ehab.co/
Karuna,a decentralized peer-to-peer social platform built on ethereum blockchain for social and economical development of communities in need of aid,http://karuna.technology/
La’Zooz,a ride sharing service which synchronize empty seats with transportation needs in real-time and based upon a blockchain technology,http://lazooz.org
Oceanus Foundation,a community within the shipping industry. The backbone of this work will be a blockchain and token that allow the industry to reinvest in itself and return value to actors who make significant contributions to the community and industry,http://www.oceanus.tech/
Our Roots,a distributed network of local farms around the world. (Project seems inactive or has been aborted),https://www.ourroots.life/
Parity.Tech,a project developing the technology to disrupt centralised online services and enable institutional innovation,https://www.parity.io/
Propy,a start-up revolutionizing home purchasing globally by deploying smart contracts on the blockchain,https://propy.com/browse/
Sierra Leon presidential voting,the first country using blockchain for national presidential elections,https://medium.com/agorablockchain/swiss-based-agora-powers-worlds-first-ever-blockchain-elections-in-sierra-leone-984dd07a58ee
Seeds,"a decentralized, transparent, distributed platform for submitting and fulfilling monetary needs",https://seedstokens.com/
BeefLedger,"an integrated provenance, blockchain security and payments platform for the beef supply chain",https://beefledgersa.com/
Horizon State,a token-based blockchain voting and decision-making platform that delivers unprecedented trust through the integrity and post-unforgeable attributes of blockchain technology,"https://horizonstate.com/
"
Helperbit,"a platform that brings transparency in charity and insurance sectors giving back power to people

",https://app.helperbit.com/
RoboMed,a clinic management platform to view medical data and health process,https://robomed.io/
Charitex,a smart business model and improving the technology of giving – with a vision to create real and positive impact for people. (Project seems inactive or has been aborted),http://www.charitex.eco
Recycle-to-coin,"a world-first system providing the public with a cutting edge incentive to recycle waste. Aimed at ‘single-use’ plastic bottles and aluminium cans, this revolutionary solution leverages a blockchain based mobile app to help inspire environmental change. a project from BCDC.online",https://www.recycletocoin.com/
Doc.ai,a service to collect large scale of health metadata and draw (predictive) analytics from it by using machine learning (IA),https://doc.ai/
GovBlocks,"an open, permission-less protocol for decentralized governance","https://govblocks.io/
"
Gab,"a social network that supports free speech, individual liberty, and the free flow of information",https://gab.com/
Food Trax,"a company helping Food Manufacturers to implement Traceability Solution by providing Trail of product from Farm to Fork

",http://foodtrax.pk/
Farmshare,a community-supported agriculture (CSA) platform using Ethereum blockchain to tokenize shares and reward volunteers,https://devpost.com/software/farmshare
Ethertweet,a censorship resistant twitter-like social media platform,http://ethertweet.net/
Publicism,"the tools to produce, share and read real news made by real people",https://publicism.nl/about/
Halotrade,"a blockchain technology and invoice financing to increase supply chain visibility and combat slavery, child labour, environmental degradation, etc",http://halotrade.io/new/
Abra,a Bitcoin-based remittance application and simplest way to invest in cryptocurrencies,https://www.abra.com/
Plastic Footprint,the world's first global plastic neutral scheme using blockchain. a project from BCDC.online. (Project seems inactive or has been aborted),https://www.gpnscheme.com
SimplyVitalHealth,"a blockchain-based solution to exchange healthcare data between different providers (hospital, health system,...). (Project seems inactive or has been aborted)",https://www.simplyvitalhealth.com/
Experty.io,a decentralized Skype-like app for mobile and desktop also for the unbanked,https://experty.io
ETHLend,a decentralized and secure financial marketplace for peer to peer lending agreements using Blockchain and Smart Contracts,https://ethlend.io/en/
Krops,"an agricultural marketplace that wants to become the largest food hub in the world – without owning a single farm, and solve the global food crisis",http://krops.org
Healthcoin,the world's first blockchain-enabled platform for diabetes prevention,https://www.healthcoin.nl/
Everledger,an authentification on the blockchain using notably for diamonds,https://www.everledger.io
OriginTrail,"a solution that allows effective differentiation for food products' brand owners. By unveiling the entire supply chain to shoppers before they make their purchase, we help producers differentiate themselves based on the origin of their products and put the shoppers’ mind at ease",https://www.OriginTrail.io
Polys,an Online and secure voting system based on blockchain technology,https://polys.me/
Transparent Path,"a collaboration between smart packaging & a public/permissioned ledger platform to create transparency and visibility through the supply chain, for food, beauty and pharma products",https://xparent.io/
Bananacoin,"the first environmentally friendly plantation in Laos which has released a utility token based on Ethereum, pegged to the export price of 1 kg of bananas","https://bananacoin.io/
"
Demeter,"a central hub to rent and farm micro fields anywere in the world - with no middlemen, complexity or the overhead of a big organization - It's true, decentralized farm-to-table",https://demetoken.io/
OVIE,a blockchain-based and distributed universal income,https://oviedo.es
Waba,a decentralized open platform that hosts and connects economic hubs in which money and market are governed by the communities,https://www.waba.network
Minespider,a blockchain start-up using blockchain to track responsible minerals,https://www.minespider.com
MoonJelly DAO,"a Decentralized Autonomous Organization (DAO) creating an “Ocean Impact” NFT marketplace to raise funds in support of ocean conservation. They are also launching their own token, Jelly Token, to raise liquidity and to fund ocean restoration projects, which will be chosen through community governance. ",https://www.moonjelly.io/
Agrichain,"a simple-to-use, secure, independent software solution that automates the sharing of information across all major commodity supply chain participants",https://agrichain.com
Holo,"a distributed cloud, owned and run by users like you and me",https://holo.host/
TE-FOOD,"the only fresh food ecosystem which integrates supply chain companies, consumers, and governments/authorities to improve food safety, eliminate food frauds, and decrease costs of the supply chain companies",https://www.tefoodint.com/
MediLedger,"a blockchain venture that has been created by Chronicled and The LinkLab. Their goal is to bring together leading Pharmaceutical Manufacturers and Distributors to explore blockchain technology to meet track and trace regulations, and improve the overall operation of the supply chain",https://www.mediledger.com
Acorn Collective,"an open, free and global blockchain based crowdfunding platform. (Project seems inactive or has been aborted)",https://aco.ai/
Akiri Switch,the first network-as-a-service platform optimized for healthcare,https://akiri.com/
Tokia,"a wallet, exchange and a direct crypto payment card created to simplify all operations and make them more convenient for all crypto currency conversions",https://www.tokia.io/
Tykn,"a start-up leveraging Blockchain technology for the building of safe, private and interoperable electronic identity, authentication and trust service (eIDAS) tools",https://tykn.tech/
4NEW,"the world's first eco-friendly, tangible Waste to Energy blockchain solution",https://4new.io/
Clear Trace,a blockchain-based solution for accelerating a sustainable and equitable energy future,https://cleartrace.io/
Ash Elements,"an Asset Back Token (ABT) that captures the value of rare earth minerals in coal ash in the form of mineral rights, turning an unattractive liability into a viable environmentally responsible asset.",http://www.ashelements.io
Colendi,a decentralized protocol providing a democratized credit scoring evaluation method that comes attached with an ID to serve users as a global financial passport,https://www.colendi.com
Impact.Earth,the art of creating Financial and Social wealth on the blockchain,https://www.impact.earth/
Austin guild,a global network of local driver cooperatives called guilds. Guild drivers work together to provide reliable service to their local area. A project from Arcade.City,https://arcade.city/
Dharma,"a generic, permissionless protocol and developer toolset for issuing, underwriting, and administering debt instruments as cryptographic tokens",https://opensea.io/blog/articles/opensea-acquires-dharma-labs-welcomes-new-cto
Opolis,a peer-to-peer (P2P) platform and neutral ecosystem to connect employers and job seekers via trusted advisors,https://opolis.co/about/
Hara,a blockchain-based decentralized agriculture data exchange,https://www.hara.ag/
Truepic,a photo verification platform that aims to build a more trustworthy internet through certified authentic images & videos,https://truepic.com/
Commuterz,a P2P Mobility Service Enabling Trustless Collaboration  Powered by Blockchain,https://www.commuterz.io/
Typehuman,a blockchain venture studio helping people and organisations wanting to adopt blockchain or DLT by connecting them with the members and teams with the right capabilities.,http://www.typehuman.com
Batan,"a digital carbon offset and a collective effort to address climate change. By using social media, the power of the crowd, and secure digital transaction technology, Batan turbo-charges existing efforts to reduce greenhouse gas emissions. (Project seems inactive or has been aborted)",http://batan.io/
geeRemit (SKJ Visionning),"a global remittance mobile app based on blockchain, leveraging mobile money",https://www.skjvisioneering.com/
DEIP,"a decentralized research platform entirely governed by the scientific community. It provides funding mechanisms, publishing platform and review system",https://www.deifashionstore.it/
Blockchain Labs for Open Collaboration (BLOC),the leading community and platform for maritime and energy blockchain based solutions,https://www.un-bloc.com/
Geagora,"a new currency backed by carbon removal assets, key to reversing climate change
",https://devpost.com/software/geagora-carbon-marketplace
Vegan Nation,"the first decentralized global community for vegans. We aim to use the power of blockchain technology in our mission to create a powerful, united, international vegan force",https://vegannation.io/
FinComEco,"the agri-commodity exchanges, linking agricuture to the financial technology for smallfoldeer farmars",http://www.fincomeco.com
The Bounties Network,"a platform that makes it easy to outsource any task, from code to social marketing, and everything in between, paying in any token on Ethereum",https://bounties.network/
Halalcoin,a cryptocurrency for Muslims and & anti-ISIS mouvement. (Project seems inactive or has been aborted),https://www.halal-coin.org/
Greenx.network,"a blockchain ecosystem that enables individual and institutional investors to discover and invest in lucrative, low-risk renewable energy projects around the world. (Project seems inactive or has been aborted)",https://greenx.network/
Proof of Impact,"a company placed in south-africa, netherlands and US developing concepts and use cases using blockchain for social impact and impact investing",https://proofofimpact.com/
The sun exchange,an investment platform that enables people to invest in the construction and earn income from the operation of solar farms in developing countries,https://www.thesunexchange.com/
Bloom,"an end-to-end protocol for identity attestation, risk assessment and credit scoring, entirely on the blockchain",https://hellobloom.io/
Agriledger,"a start-up Providing the Right Tools for the Participants
in the Agricultural Supply chain",http://www.agriledger.io
Change Healthcare,the first blockchain solution for enterprise-scale use in healthcare to create a distributed ledger that makes claims processing and secure payment transactions more efficient and cost effective for all stakeholders across the revenue cycle,https://www.changehealthcare.com/
Wala,a zero-fee money app on a mission to support you on your path to financial freedom,https://getwala.com/
SALT,"the Blockchain-Backed Loans. Hold your assets, get your cash.",https://www.saltlending.com/
Decent,a Decentralized Content Distribution Platform that is Open-Source and utilizes Blockchain to ensure security. Our intention is to revolutionize data distribution on the Internet.,https://decent.ch/
Annona,"a mobile and web-based platform that suppliers use to manage procurement, payments and aggregate crop production from small-scale producers",https://annona.co/
Chooose,"the Platform for Climate Positivity. We activate the silent majority, empowering people and brands with low-barrier, high-impact climate action",https://chooose.today/
RightMesh,"the world’s first software-based, ad hoc mobile mesh networking platform and protocol using blockchain technology and RMESH tokens to power growth",https://www.rightmesh.io/
Cuipo,"a CSR (Corporate Social Responsibility) service provider powered by Blockchain technology for 'Proof of Conservation' whose mission is to facilitate the protection and preservation of the world's endangered rainforest, “One Meter at a Time”",https://cuipo.org
Tatiana Coin,a new business model for Artists or anyone with an audience looking to interact with their supporters and raise funds for their projects,https://www.tatianamoroz.com/tatiana-coin/
ZhongAn,"a new blockchain-based system that tracks individual chicken from farm-to-consumer, using devices from IoT firm Wopu",https://zhongan.io
Blockchain Wine,a customized Ethereum blockchain tool for the Italian wine industry,https://www.tattoowine.com
OwlTing,a taiwanese project using an Ethereum blockchain API to track food provenance,https://www.owlting.com/owlchain/
Food Blockchain XYZ,"an Ethereum blockchain tool it calls Food Supply Chain 2.0, which aims to enable both end-to-end traceability of the food supply chain, using proprietary sensor systems, and a cryptocurrency called FoodCoin, for secure commercial transactions between buyers and sellers around the world",http://www.foodblockchain.xyz/
Chai Wine Vault,"a project that verifies authenticity of wines and reduce wine counterfeiting, especially of wine purchased as an investment asset",https://winefraud.com/
The Digital Reserve,a P2P payment and lending network that leverages Denarii – a specialized cryptocurrency designed to meet the needs of everyday people,http://www.thedigitalreserve.org
APPII,"a career verification platform. The Platform verifies Identity, Education, Employment, Micro Credentials and also enables Background Screening.",http://www.appii.io
BlockID,"Secure online services from password-based attacks with a next generation approach to multi-factor authentication that delivers a frictionless user experience

",https://www.1kosmos.com/
RadioYo,"an open source blockchain-based broadcasting and services platform where developers, consumers, podcasters, service providers and advertisers can openly collaborate, track ownership of content and content creators can be rewarded for their work. (Project seems inactive or has been aborted)",https://radioyo.fm
Blockfreight,"a project to get 360,000,000 containers on network by 2020",https://blockfreight.com/
PledgeCamp,a crowdfunding platform that respects donors contributions,https://pledgecamp.com
Steam Role,a platform to teach the skills of tomorrow to talented but traditionally underserved communities,https://steamrole.org
Vinchain,"an end to falsified data, financial fraud and safety issues for vehicle data",https://vinchain.io/
Bitminutes,a pre-paid minutes asset backed token that collateralizes micro-loans for over 2 billion consumers in 70 countries,https://www.bitminutes.com
Guardian Circle,an economic framework for distributed emergency response to the four billion people worldwide without government sponsored emergency response,https://guardium.co/
Akoin,"a new cryptocurrency from Akon, the global artist and change-maker who founded Akon Lighting Africa (providing scaled solar power solutions throughout Africa), created to empower youth entrepreneurship and economic inclusion through an exclusive suite of sustainability and growth building crypto-based apps",https://www.akoin.io/
SureGifts,a project making gifting easier. Formerly SureRemit.,https://business.suregifts.com.ng/
Flying Carpet,"a transportation system that everyone can use, no one can control or shut it down",https://www.flyingcarpettours.com/
ComGo,"a comprehensive smart contracts solution for transparency, auditability and accountability for the charity sector",https://www.comgo.io/
Talenter,a new labour market by building an open system for the world to share talents. Unique platform connecting people via blockchain technology,https://www.talenter.io/
ClimateCoop.com (dCentra),"a blockchain based collaboration & governance platform, enabling climate initiatives to discover partners, build consortiums & run projects","https://www.ClimateCoop.com
"
Dala,"a crypto-token designed to enable instant, zero-fee, borderless micropayments",https://dala.org/
Agora,a digital blockchain voting system,https://agora.vote/#about
Dada,a social network for digital art where people interact with digital drawings founded by Beatriz Ramos,https://dada.nyc/home
HullCoin,"the world’s first Community Loyalty Point. Earn HullCoin by getting involved in great things in your community, spend HullCoin by accessing discounts with local retailers",http://www.hull-coin.org/
Kelsen,a protocol for global governance. (Project seems inactive or has been aborted),https://www.klsn.io
HIT Foundation,a marketplace that allows individuals to digitize and monetize their health data and trace its usage,https://hit.foundation/
Mysterium Network,"a decentralized VPN powered by blockchain; open sourced network allowing anyone to rent their unused network traffic, while providing a secure connection for those in need. We are on a quest to help reclaim our privacy",https://mysterium.network/
PlayitOpen,"a solution empowering positive impact project developers with the digital tools to better collaborate with their stakeholders, report on their projects, and deliver shared value.",http://www.playitopen.org
CyberFM Mainstream For The Underground,"a universal, international currency that compensates all artists and performers across the world!",https://cyberfmradio.com
Utopi,"a project that revolutionizes philanthropy, elevates live-streaming Blockchain technology, and integrates influencers & user generated content to transform our planet. (Project seems inactive or has been aborted)",https://utopi.io/
Medrec,"a distributed access and validation system using the blockchain to replace centralized intermediarie, to manage health data",https://medrec.media.mit.edu/
The Sun Protocol,a sustainable & self-determined crypto-economy through energy and benefits. (Project seems inactive or has been aborted),https://TheSunProtocol.io/
UNOPS & IOTA,a partnership to explore how IOTA’s technology — which provides an open-source distributed ledger for data management — can increase the efficiency of UNOPS operations,"https://blog.iota.org/unops-and-iota-collaborate-to-bring-transparency-and-efficiency-to-un-work-e953f7736c88 
https://www.unops.org/news-and-stories/news/unops-and-iota-collaborate-to-bring-transparency-and-efficiency-to-un-work"
TiiQu,a platform that uses blockchain technology to create an immutable digital “passport” as verified proof of an individual’s professional trustworthiness,https://tiiqu.com
Decent (healthcare),a health care start-up using blockchain technology in bringing affordable healthcare insurance to all,https://www.decent.com/
Datafund,"a protocol that guards personal data, provides safe storage and enables ethical data exchange.",https://datafund.io
UWIN Corp,a blockchain-based commodity marketplace for farmers and producers,https://uwincorp.com
JOLOCOM,a decentralized system for creating and sharing digital identity,https://stories.jolocom.com/?gi=c50c10e7655b
CheapID,a digital identity standard designed for use in conflicted environment like those many refugees or disaster victims may find themselves in.,http://guptaoption.com/cheapid/
Chynge,a payment token with No FX Risk,https://www.chynge.com
Mojaloop,"the open-source software for financial services companies, government regulators, and others taking on the challenges of interoperability and financial inclusion",https://mojaloop.io/
Flutterwave,"a payments infrastructure platform to connect Africa to the global economy. We do this by building technology, tools, and infrastructure for businesses and banks who want to provide a more seamless and secure payments experience for their customers",https://flutterwave.com/us/
Arcus,a B2B payment solution company,https://www.arcusfi.com/
Coinpip,a platform which helped businesses send payments and payouts to remote workers using blockchain technology as a payment rail,https://www.coinpip.com/
Wyre,a San-Francisco-based crypto payments,https://www.sendwyre.com/
Zipzap,a novel energy tokenization blockchain system for local energy exchanges,https://ieeexplore.ieee.org/document/9805486
Rebit,"a service of Satoshi Citadel Industries, a Philippine-based holdings company for Bitcoin-related ventures. (Project seems inactive or has been aborted)",https://rebita.co.jp
Uphold,nan,https://uphold.com
Bitspark,nan,https://bitspark.io
Human Coin,"a revolutionary platform bringing about the synergy of philanthropy industry, retail e-commerce and cryptocurrency markets, fuelled by the Proof of Charity mining protocol",https://www.humancoin.net/
Little Phil,a platform that uses blockchain technology to radically transform charity. Little Phil will be able to improve the way donations work in many ways through the use of smart contracts and an immutable ledger,https://littlephil.org/
Givecrypto,a nonprofit that distributes cryptocurrency to people living in poverty,https://www.givecrypto.org/
Boom Starter network,a blockchain-based crowdfunding platform with smart-contracts and crowdmining technology. (Project seems inactive or has been aborted),https://boomstarter.network/
Philanthor,a Philanthropy Foundation that runs over blockchain and makes it possible for everyone to become a philanthropist. (Project seems inactive or has been aborted),https://www.philanthor.com/
Insurepal,nan,https://insurepal.com
bond-i,"the world’s first bond to be created, allocated, transferred and managed through its life cycle using distributed ledger technology",http://www.worldbank.org
Femergy,the Formely Mom's Avenue (323) project. (Project seems inactive or has been aborted),https://www.femergy.io/
Dether,"the world's first decentralised, peer-to-peer mobile app for crypto-to-cash payments and buyings goods and services in local/physical stores",https://dether.io
Global Grid,a Mexico-based blockchain platform to fund renewable energy projects and trace green attributes.,http://globalgrid.xyz
IcrowdU,nan,https://www.icrowdu.com/#/
Solara,a company aiming to enable and establish a provable green energy ecosystem by utilising the latest in cryptography and Internet of Things technology including our SOLARA HARDWARE MODULES (SHMs),https://solara.io
Smart City,"a part of the ambitious mission to reduce the household carbon footprint and efficiently reduce the wasteful transformation of electricity, water, and heat.",http://smartcitycointest.net/
NOIZ,"a decentralized ad network that provides a transparent advertising space for publishers, advertisers and consumers to connect in a fraud-free ecosystem",https://noize.com
Chamapesa,a ledger keeping and social messaging app for groups like chamas and merry-go-rounds built using blockchain technology to promote a savings culture. (Project seems inactive or has been aborted),https://chamapesa.com/
Possible Today Foundation,"a Netherlands-based project is intended to increase social capital by giving people incentives to do the work that might not normally earn money, yet is crucial for healthy societies",http://www.possible.today/#english
Clarity,a global advisory platform empowering small businesses,https://clarityproject.io/
Shelpin,"a project that connects socially responsible consumers, brands and NGOs so each purchase generates a donation that is only released when the community validates the outcome of the social project",http://www.shelpin.com/
Berkeley Blockchain Initiative (BBI),a blockchain-based solution with a cryptocurrency to combat the affordable housing crisis in Berkeley,http://www.dailycal.org/2018/03/02/berkeley-cryptocurrency-housing-crisis-neighborly-blockchain-initiative/
Systemad,"a tool for social , economic and civic inclusion in low income neighbourhoods",http://www.systemad.org/
VOLT Project,a project to explore applications of distributed ledger technologies (DLT) in domains involving voting and collective decision making. (Project seems inactive or has been aborted),http://www.volt-project.org/
Hola Luka,a project bringing the unbanked into the world of Fintech and humanizing money,https://holaluka.co/
EdgeCoin,the world´s first education and e-learning token built on the Ethereum blockchain,https://www.edgecoin.io/
Sandblock,a decentralized consortium for brands and customers,https://sandblock.io/
VMC,a software company dedicated to solve challenges in human mobility using blockchain technology. (Project seems inactive or has been aborted),https://www.VMC.ai
Crypto Development Fund (CDF),a blockchain-based platform which links international investors with promising start-ups from developing countries and facilitates the investment process,https://crypto-development-fund.com/
Woolf,"the first borderless, blockchain-powered university in the world",https://woolf.university
Cudo Donate,"a software that sits quietly in the background on your computer as you go about your daily business – waiting to harness spare capacity to help those in need. When you stop working, Cudo Donate comes to life and turns unused computer power into cryptocurrency – digital money – for great causes",https://www.cudodonate.com/
Luxarity,"a Consensys start-up aiming at transforming retail luxury recycling, donation transparency, and grant allocation",https://www.luxarity.com/
Seedom,a fun Ethereum decentralized application (DAPP) for raising awareness and Ether for altruistic causes while rewarding a single participant for their contribution and support. (Project seems inactive or has been aborted),https://www.seedom.io/
Science Distributed,"a partform bringing more scientists together with blockchain/DLT as a tool for trust. We think that this will have a transformational impact on science and health, bringing better science, cheaper research, and faster miracles. (Project seems inactive or has been aborted)",https://sciencedistributed.com/
DeLife,a Distributed Technology platform for local resource management and social governance. (Project seems inactive or has been aborted),https://www.delife.io/
BlockchainVote.IO,"an instant online voting procedure for events, lectures and congresses, which can be used via smartphone, and which can be used for voting as well as for lecture-accompanying evaluations.. (Project seems inactive or has been aborted)",https://www.blockchainvote.io
CryptoCorals,"a platform to finance coral reefs restoration, which intend to tokenize corals (not using blockchain anylonger)",https://cryptocorals.co/
Danube Tech,a self-Souvereign Identity Solution: A DLT-based cloud-infrastructure for data transfer & management operating on a semantic graph model (XDI),https://www.danubetech.com
Blockchain Charity Foundation,a project to transform philanthropy by developing the world’s first decentralized charity foundation,https://www.binance.charity/
TimeBanks,an alternative currency in which the value unit is the person hour,https://socialtech.community/
Instant Access Medical,a solution that solves the biggest single point of failure in healthcare with our distributed system.,https://www.instantaccessmedical.com/
BlocRice,"a start-up that uses distributed ledger technology to implement smart contracts where details such as the farm gate price of organic rice, trade volume and method of transportation are recorded",https://cambodia.oxfam.org/BlocRice
BitSURE,a fintech start-up that utilizes blockchain technology to provide new innovative payment services for organisations and their customers. (Project seems inactive or has been aborted),https://bitsure.co/
Bluepan,a better remittances environment by merging know-how in remittances and a powerful network. (Project seems inactive or has been aborted),http://www.bluepan.net/
REMIIT,a blockchain version of the Hawala system,https://remiit.io/
Orchid Labs,"the decentralized, open-source technology
for an Internet free from surveillance and censorship",https://www.orchid.com/
Wave,"a decentralized network and allows them a direct exchange of documents. WAVE's application manages ownership of documents on the blockchain eliminating disputes, forgeries and unnecessary risks",http://wavebl.com/
minerac,"a secured, trusted, and seamless global mineral trading ecosystem on blockchain. Minerac brings the mineral and metals industry together by helping to develop smarter processes to better share information, increasing efficiency and profitability",http://www.minerac.com/
CargoChain,"the distribution of previously unavailable cargo information, and the development of third-party applications that will redefine the global information supply chain",https://cargochain.com/
Open Packaging Network OPN,"a All-in-One Blockchain Platform for Packaging Industry.
Registration in OPN B2B Platform is for packaging business companies",https://www.opnplatform.com/
Logistichain,"a blockchain prototype built to investigate the possibilities of blockchain for the high-frequency supplychain network. This blockchain prototype specializes in b2c/b2b online orders, flowing through the supplychain",http://www.logistichain.io/
PlusD consortium,a contracting solution for Logistics 4.0. (Project seems inactive or has been aborted),https://plusd.tech/
Evertrace,"a single source of truth for supply chain data - evertrace is an end-to-end solution for tracking physical assets across globally distributed supply chains, enabling all stakeholders to seamlessly integrate verified data into smart contract based processes",http://www.evertrace.io/
FOAM,a protocol that empowers a permissionless and autonomous network of radio beacons that can offer secure location services independent of external centralized sources such as GPS through time synchronization. (Project seems inactive or has been aborted),https://www.foamortgage.com/
PiggyCoin,"a cryptocurrency where you earn interest on your coins, rather than by mining. We aim to be the crypto for kids and newcomers. Oink!",https://piggy-coin.com/
Pigzbe,"a fun, handheld home for your child’s digital pocket money. The project has officially closed due to lack of funding and the global pandemic. (Project seems inactive or has been aborted)",https://pigzbe.com/
1P2C,"a blockchain solution to manage renting & micro-ownership of small surface housing
",https://www.pcmag.com/
Agorique,"a project which mission is to protect and host personnal data underd people's control, which can help finance meaningful projects financed by online advertising",https://agorique.com
Bytes R&D,a platform that enables machines (starting with our phones) to trade Internet access with one another in a distributed fashion,https://www.bytesroute.com//index.html
Tribute,a start-up that enables organizations to create a new form of equity for their communities,https://www.tribute.co/
Poi Network,a start-up that aims to become the global protocol to boost the advent of the impact economy. (Project seems inactive or has been aborted),https://www.poi.network
Monart,the international Art Community & Marketplace,https://www.monart.Art
BCDiploma,"a new certification Ethereum based protocol, for your credentials",https://www.bcdiploma.com/
BetterChain,"a social venture on a mission to support responsible sourcing of minerals and better forms of engagement with communities in resource-rich countries, whose livelihoods heavily depend on revenues from the mineral trade",https://bcha.in/
Deepcare,"a novel healthcare service and application based on Blockchain techonology, Decentralized architecture and AI in order to offer an accessible and affordable health service for every person on earth. (Project seems inactive or has been aborted)",https://deepcaresl.com
FlexiDAO,"a project that facilitates the aggregation and control of distributed flexible energy resources in order to deliver transparent, secure, reliable, and timely energy flexibility to grid operators",http://flexidao.com/
Hive Power,a company that provides anyone with the possibility to create and manage energy communities on the Ethereum blockchain,https://www.hivepower.tech/
Conjoule,a German start-up building blockchain-based products which first service is a local energy marketplace that lets Providing Homes (homes producing renewable energy) sell their surplus energy directly to local homes and organizations,http://conjoule.de/en/home/
Envion,"a disrupting solution to Mobile Blockchain Mining, making the most of renewable energies",https://www.envion.org/en/
WSW Tal.Markt,"a digital marketplace with the German city of Wuppertal and the platform Tal.Markt where energy producers can offer their electricity from solar, biomass, water or wind power plants and consumers can directly choose their individual electricity mix. (Project seems inactive or has been aborted)",https://www.wsw.info/ausgabe-172/energie/wsw-talmarkt/
Share & Charge,"an open network developped by the company Motionwerks enabling mobility companies to offer a seamless, secure and smart charging experience",http://shareandcharge.com/
SunContract,an energy-trading platform that utilizes blockchain technology and opens a new business model for buying and selling electricity,https://suncontract.org/index.html
OLI Systems,a German start-up developing blockchain hard- and software solution for decentralized energy market and peer-to-peer trading,http://www.my-oli.com/de/
Energy Unlocked,"a start-up accelerating energy systems transitions by providing processes to accelerate low carbon, resilient, renewable solutions",http://www.energyunlocked.org/
Ampere Energy,"an all-in-one system including Smart-Battery integrated into Smart Grid, based on Blockchain for a better and clean energy consumption",http://www.ampere-energy.eu/
Spectral,a new platform for setting up local energy markets based on blockchain technology,https://spectral.energy/
Stratumn & Bouygues Smart Grid project in Lyon,a partnership with tech & energy companies and the city of Lyon in France to experiment blockchain-based peer-to-peer energy trading in and between smart buildings,https://stratumn.com
Elbox,"a platform solution for the operation of a
regional peer-to-peer marketplace that uses the
blockchain for the proof of origin of each unit of
energy sold. (Project seems inactive or has been aborted)",https://www.elblox.org/
SolveMIT,"a MIT’s initiative seeking innovative solutions to the world's most pressing challenges on economic prosperity, health, learning, & sustainability",https://solve.mit.edu/about
Verv,a blockchain based peer-to-peer energy trading solution for their smart home product that uses AI predictions about energy consumption to trade electricity at the best price,https://verv.energy/
Mybit,an Ethereum-based company that provides critical infrastructure for the next generation of wealth management applications,https://mybit.io/
Veridium Labs,an environmental blockchain company that has created the world’s first net-positive environmental & social impact offset token,https://www.veridium.io/
